Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2019,2019,tonnes,345962110,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,1999,1999,tonnes,72223460,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2000,2000,tonnes,75055290,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2001,2001,tonnes,78671470,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2002,2002,tonnes,75010030,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2003,2003,tonnes,66782720,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2004,2004,tonnes,85015630,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2005,2005,tonnes,83506580,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2006,2006,tonnes,87000620,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2007,2007,tonnes,72859180,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2008,2008,tonnes,80748700,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2009,2009,tonnes,91469550,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2010,2010,tonnes,90663290,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2011,2011,tonnes,84291400,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2012,2012,tonnes,82790870,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2013,2013,tonnes,91389350,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2014,2014,tonnes,106877870,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2015,2015,tonnes,106953940,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2016,2016,tonnes,116931500,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2017,2017,tonnes,120064970,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2018,2018,tonnes,120514490,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,236,Soybeans,2019,2019,tonnes,96667090,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,1999,1999,tonnes,62567284,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2000,2000,tonnes,60639376,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2001,2001,tonnes,52999932,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2002,2002,tonnes,43703968,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2003,2003,tonnes,63803256,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2004,2004,tonnes,58697040,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2005,2005,tonnes,57241992,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2006,2006,tonnes,49216040,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2007,2007,tonnes,55820360,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2008,2008,tonnes,68016096,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2009,2009,tonnes,60365728,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2010,2010,tonnes,60062408,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2011,2011,tonnes,54418808,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2012,2012,tonnes,61677384,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2013,2013,tonnes,58104610,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2014,2014,tonnes,55147120,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2015,2015,tonnes,55839540,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2016,2016,tonnes,62831507,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2017,2017,tonnes,47379810,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2018,2018,tonnes,51305540,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,15,Wheat,2019,2019,tonnes,52580890,,Official data
